Category,Time to spoilage
Meat,"[[0.5, 'Raw'], [7.0, 'Smoking'], [21.0, 'Salting'], [365.0, 'Canning'], [270.0, 'Freezing'], [365.0, 'Freeze Drying'], [2.0, 'Refrigeration'], [20.0, 'Vacuum Packing'], [28.0, 'Irradiation'], [1.0, 'Raw'], [365.0, 'Salting'], [1825.0, 'Canning'], [168.0, 'Freezing'], [5475.0, 'Freeze Drying'], [10.0, 'Refrigeration'], [182.0, 'Vacuum Packing'], [42.0, 'Irradiation'], [1.0, 'Raw'], [1825.0, 'Canning'], [720.0, 'Freezing'], [12.0, 'Refrigeration'], [19.0, 'Vacuum Packing'], [42.0, 'Irradiation'], [1.0, 'Raw'], [1825.0, 'Canning'], [180.0, 'Freezing'], [5.0, 'Refrigeration'], [21.0, 'Vacuum Packing'], [20.0, 'Irradiation w/ Refrigeration']]"
Produce,"[[2.0, 'Raw'], [1825.0, 'Canning'], [187.0, 'Freezing'], [180.0, 'Drying'], [1825.0, 'Canning'], [270.0, 'Freezing'], [720.0, 'Freeze Drying'], [14.0, 'Refrigeration'], [1825.0, 'Canning'], [240.0, 'Freezing'], [720.0, 'Freeze Drying'], [35.0, 'Raw'], [120.0, 'Refrigeration'], [10950.0, 'Drying'], [7300.0, 'Drying'], [1825.0, 'Canning'], [365.0, 'Freezing'], [720.0, 'Freeze Drying'], [2.0, 'Raw'], [7.0, 'Refrigeration']]"
Fruit,"[[4.0, 'Raw'], [720.0, 'Canning'], [720.0, 'Freezing'], [240.0, 'Freeze Drying'], [13.0, 'Refrigeration'], [21.0, 'Raw'], [7300.0, 'Drying'], [540.0, 'Canning'], [720.0, 'Freeze Drying'], [56.0, 'Refrigeration'], [10.0, 'Raw'], [5.0, 'Refrigeration'], [720.0, 'Freezing'], [7.0, 'Raw'], [14.0, 'Refrigeration'], [7.0, 'Raw'], [540.0, 'Canning']]"
Dairy,"[[21.0, 'Pasteurization'], [20.0, 'Refrigeration'], [90.0, 'Freezing'], [7300.0, 'Drying (milk)'], [120.0, 'Fermentation (Cheese)'], [90.0, 'Raw'], [240.0, 'Refrigeration']]"
